r_xy_mm,phi_deg,z_mm,spiral,order_idx
98,-174.7,-153,forward,0
106,-172.9,-140,reverse,1
103,-173.6,-15,forward,2
90,-174.0,-1,reverse,3
102,-170.4,170,reverse,4
104,-172.5,124,forward,5
96,-167.5,117,reverse,6
92,-167.7,91,forward,7
110,-172.2,84,reverse,8
101,-170.7,38,forward,9
99,-169.3,31,reverse,10
105,-165.9,5,forward,11
97,-166.4,-22,reverse,12
102,-168.9,-48,forward,13
89,-171.1,-54,reverse,14
94,-171.8,-101,forward,15
108,-168.2,-107,reverse,16
94,-167.0,-133,forward,17
98,-165.2,-160,reverse,18
100,-162.3,-166,forward,19
91,-160.5,-127,reverse,20
94,-159.4,-113,forward,21
96,-164.1,-80,forward,22
98,-163.4,-75,reverse,23
112,-158.7,-42,reverse,24
104,-161.2,-27,forward,25
92,-161.6,11,reverse,26
108,-158.3,25,forward,27
106,-163.0,58,forward,28
102,-164.5,64,reverse,29
92,-159.8,97,reverse,30
98,-160.1,111,forward,31
96,-164.8,144,forward,32
99,-162.7,150,reverse,33
100,-157.1,164,forward,34
91,-150.3,162,reverse,35
107,-152.4,131,forward,36
90,-155.1,129,reverse,37
109,-155.3,78,forward,38
100,-152.2,76,reverse,39
89,-150.6,46,forward,40
101,-156.9,44,reverse,41
92,-153.5,-7,forward,42
88,-154.0,-9,reverse,43
112,-156.5,-60,forward,44
98,-151.0,-62,reverse,45
101,-151.7,-93,forward,46
97,-155.8,-95,reverse,47
89,-154.6,-146,forward,48
99,-152.8,-148,reverse,49
89,-145.2,-168,reverse,50
94,-147.0,-126,forward,51
112,-148.1,-115,reverse,52
99,-143.4,-82,reverse,53
108,-144.1,-73,forward,54
103,-148.8,-40,forward,55
97,-146.3,-29,reverse,56
106,-145.9,13,forward,57
111,-149.2,24,reverse,58
101,-144.5,56,reverse,59
107,-142.9,66,forward,60
89,-147.7,99,forward,61
99,-147.4,109,reverse,62
100,-142.7,142,reverse,63
104,-144.7,152,forward,64
103,-137.9,175,reverse,65
101,-137.1,172,forward,66
94,-140.0,119,forward,67
91,-139.8,89,reverse,68
109,-135.3,86,forward,69
109,-136.8,36,reverse,70
106,-138.2,33,forward,71
95,-141.6,3,reverse,72
108,-141.1,-20,forward,73
105,-138.6,-50,reverse,74
101,-136.4,-52,forward,75
93,-135.7,-102,reverse,76
102,-139.3,-105,forward,77
107,-140.4,-135,reverse,78
99,-142.2,-158,forward,79
92,-129.8,-171,forward,80
93,-132.8,-155,reverse,81
98,-134.6,-138,forward,82
91,-128.0,-123,reverse,83
101,-131.7,-85,forward,84
105,-131.0,-70,reverse,85
92,-128.7,-32,forward,86
109,-133.9,-17,reverse,87
88,-133.5,0,forward,88
99,-129.2,16,reverse,89
94,-130.5,53,forward,90
91,-132.1,69,reverse,91
95,-127.6,106,forward,92
93,-135.0,122,reverse,93
101,-132.3,139,forward,94
100,-130.3,154,reverse,95
89,-124.7,159,forward,96
88,-122.6,134,reverse,97
102,-127.4,101,reverse,98
97,-122.9,74,forward,99
109,-124.4,49,reverse,100
99,-125.8,21,forward,101
110,-121.5,-4,reverse,102
111,-121.1,-12,forward,103
99,-126.2,-37,reverse,104
105,-124.0,-65,forward,105
98,-123.3,-90,reverse,106
112,-126.9,-118,forward,107
91,-120.4,-143,reverse,108
100,-122.2,-151,forward,109
100,-112.7,-163,reverse,110
111,-114.5,-130,forward,111
100,-115.6,-110,reverse,112
110,-119.3,-98,forward,113
99,-118.6,-57,reverse,114
88,-116.3,-45,forward,115
90,-113.8,-25,reverse,116
100,-113.4,8,forward,117
100,-116.8,28,reverse,118
101,-118.1,41,forward,119
100,-119.7,81,reverse,120
96,-115.2,94,forward,121
102,-115.0,114,reverse,122
107,-119.9,127,forward,123
94,-117.9,167,reverse,124
98,-110.2,147,reverse,125
92,-112.3,147,forward,126
88,-107.5,114,forward,127
106,-107.3,94,reverse,128
88,-110.5,61,forward,129
100,-112.0,61,reverse,130
103,-105.7,28,forward,131
105,-109.1,8,reverse,132
94,-108.7,-25,forward,133
94,-106.2,-45,reverse,134
90,-110.9,-77,reverse,135
97,-111.6,-77,forward,136
91,-106.9,-110,forward,137
100,-108.0,-130,reverse,138
91,-109.8,-163,forward,139
104,-100.3,-151,reverse,140
104,-102.1,-143,forward,141
107,-103.2,-98,reverse,142
92,-99.2,-90,forward,143
111,-98.5,-65,reverse,144
97,-103.9,-57,forward,145
109,-101.4,-12,reverse,146
104,-101.0,-4,forward,147
92,-104.4,41,reverse,148
107,-98.1,49,forward,149
88,-99.6,74,reverse,150
111,-102.8,81,forward,151
112,-102.6,127,reverse,152
94,-99.9,134,forward,153
108,-97.8,159,reverse,154
98,-104.6,167,forward,155
96,-92.2,154,forward,156
107,-90.2,139,reverse,157
106,-94.9,106,reverse,158
104,-95.1,101,forward,159
111,-90.4,69,forward,160
110,-92.0,53,reverse,161
90,-96.7,21,reverse,162
99,-93.3,16,forward,163
111,-93.8,-32,reverse,164
103,-96.3,-37,forward,165
94,-91.5,-70,forward,166
97,-90.8,-85,reverse,167
107,-95.6,-118,reverse,168
108,-94.5,-123,forward,169
101,-92.7,-171,reverse,170
92,-89.7,-155,forward,171
90,-87.9,-138,reverse,172
94,-83.2,-105,reverse,173
106,-86.8,-102,forward,174
108,-86.1,-52,reverse,175
104,-83.9,-50,forward,176
91,-88.6,-17,forward,177
105,-89.0,0,reverse,178
95,-84.3,33,reverse,179
110,-85.7,36,forward,180
112,-87.2,86,reverse,181
111,-82.7,89,forward,182
112,-87.5,122,forward,183
106,-85.4,172,reverse,184
109,-84.6,175,forward,185
109,-77.8,152,reverse,186
97,-79.8,142,forward,187
112,-82.5,119,reverse,188
107,-75.1,109,forward,189
