r_xy_mm,phi_deg,z_mm,spiral,order_idx
265,4.7,66,reverse,0
252,2.9,104,forward,1
249,1.8,170,reverse,2
262,5.9,208,forward,3
248,6.5,234,reverse,4
242,1.1,272,forward,5
241,3.6,338,reverse,6
245,4.0,375,forward,7
238,0.7,442,reverse,8
263,7.0,479,forward,9
244,5.4,506,reverse,10
250,2.2,543,forward,11
244,2.5,609,reverse,12
253,5.2,647,forward,13
247,7.2,674,reverse,14
241,0.4,711,forward,15
260,4.3,777,reverse,16
29,0.0,790,forward,17
188,7.7,791,forward,18
262,8.1,751,forward,19
250,12.0,738,reverse,20
264,12.8,687,forward,21
239,14.9,634,reverse,22
237,9.9,583,forward,23
240,10.2,570,reverse,24
251,14.6,519,forward,25
259,13.1,466,reverse,26
249,11.7,415,forward,27
253,8.3,402,reverse,28
252,8.8,311,forward,29
245,11.3,298,reverse,30
243,13.5,247,forward,31
245,14.2,194,reverse,32
238,10.6,143,forward,33
248,9.5,130,reverse,34
261,7.7,40,forward,35
243,12.4,26,reverse,36
157,12.4,13,reverse,37
120,20.1,6,forward,38
247,20.1,15,forward,39
248,15.3,79,forward,40
236,17.1,91,reverse,41
241,21.9,155,reverse,42
259,18.3,183,forward,43
259,18.9,258,reverse,44
249,21.2,287,forward,45
259,16.4,351,forward,46
263,16.0,362,reverse,47
263,20.7,426,reverse,48
238,19.4,455,forward,49
261,17.8,530,reverse,50
254,22.3,558,forward,51
247,17.6,623,forward,52
264,19.6,698,reverse,53
252,20.5,726,forward,54
259,15.8,791,forward,55
213,24.8,792,reverse,56
254,28.2,766,forward,57
250,24.4,762,reverse,58
255,25.2,662,forward,59
249,27.3,658,reverse,60
260,22.6,594,reverse,61
248,27.0,494,forward,62
261,25.5,491,reverse,63
247,24.1,391,forward,64
240,28.4,387,reverse,65
261,28.8,326,forward,66
261,23.7,323,reverse,67
252,25.9,223,forward,68
255,26.6,219,reverse,69
247,23.0,119,forward,70
244,29.5,115,reverse,71
240,27.7,55,forward,72
239,24.8,51,reverse,73
216,24.8,9,reverse,74
262,32.5,11,reverse,75
262,37.2,75,reverse,76
259,35.4,94,forward,77
239,30.7,158,forward,78
247,34.3,179,reverse,79
236,33.6,262,forward,80
253,31.3,283,reverse,81
264,36.1,347,reverse,82
255,36.5,366,forward,83
254,31.8,430,forward,84
252,33.1,451,reverse,85
258,34.7,534,forward,86
247,30.2,555,reverse,87
257,30.0,598,forward,88
264,35.0,619,reverse,89
258,32.9,702,forward,90
253,32.0,723,reverse,91
238,36.8,787,reverse,92
179,44.9,792,reverse,93
165,40.1,789,forward,94
259,44.4,747,reverse,95
237,40.6,742,forward,96
258,39.7,683,reverse,97
254,37.6,638,forward,98
264,42.6,579,reverse,99
253,42.4,574,forward,100
239,37.9,515,reverse,101
262,39.4,470,forward,102
248,40.8,411,reverse,103
258,44.2,406,forward,104
259,43.7,308,reverse,105
251,41.2,302,forward,106
238,39.0,243,reverse,107
237,38.3,198,forward,108
245,41.9,140,reverse,109
259,43.1,134,forward,110
241,44.9,36,reverse,111
239,40.1,30,forward,112
238,47.8,70,forward,113
255,49.6,100,reverse,114
243,50.7,174,forward,115
236,46.7,204,reverse,116
235,46.0,238,forward,117
241,51.4,268,reverse,118
253,48.9,342,forward,119
238,48.5,372,reverse,120
257,51.8,445,forward,121
249,45.5,475,reverse,122
264,47.1,509,forward,123
237,50.3,540,reverse,124
240,50.0,613,forward,125
256,47.4,643,reverse,126
238,45.3,677,forward,127
256,52.1,708,reverse,128
259,48.2,781,forward,129
251,56.8,772,reverse,130
246,53.0,717,forward,131
240,59.8,668,reverse,132
255,57.7,653,forward,133
256,55.0,604,reverse,134
262,54.8,549,forward,135
249,57.9,500,reverse,136
263,59.5,485,forward,137
240,53.2,436,reverse,138
263,56.6,381,forward,139
242,56.1,332,reverse,140
260,53.6,277,forward,141
252,59.1,228,reverse,142
239,58.4,213,forward,143
252,54.3,164,reverse,144
262,55.5,109,forward,145
237,57.3,60,reverse,146
239,52.5,6,forward,147
203,60.2,8,forward,148
261,64.9,21,reverse,149
236,60.2,45,forward,150
262,62.0,125,reverse,151
236,63.1,149,forward,152
251,66.7,189,reverse,153
239,66.0,253,forward,154
252,63.8,292,reverse,155
247,61.3,317,forward,156
243,60.9,396,reverse,157
241,64.2,421,forward,158
258,65.6,460,reverse,159
236,67.2,525,forward,160
246,62.7,564,reverse,161
243,62.4,589,forward,162
256,67.4,628,reverse,163
261,65.3,692,forward,164
238,64.5,732,reverse,165
245,60.6,757,forward,166
138,64.9,789,reverse,167
201,60.2,791,forward,168
242,69.2,796,reverse,169
244,68.3,796,forward,170
239,73.0,732,forward,171
237,72.2,692,reverse,172
255,70.1,628,forward,173
253,74.8,564,forward,174
264,70.3,525,reverse,175
261,71.9,460,forward,176
250,73.3,421,reverse,177
237,68.5,357,reverse,178
257,69.0,357,forward,179
249,73.7,292,forward,180
249,71.5,253,reverse,181
243,70.8,189,forward,182
259,74.4,149,reverse,183
259,69.7,85,reverse,184
238,67.8,85,forward,185
250,72.6,21,forward,186
203,77.3,9,reverse,187
254,77.3,45,reverse,188
251,80.2,60,forward,189
240,82.0,109,reverse,190
260,75.5,125,forward,191
250,79.1,213,reverse,192
257,78.4,228,forward,193
251,76.2,317,reverse,194
245,81.4,332,forward,195
255,80.9,381,reverse,196
251,76.6,396,forward,197
238,78.0,485,reverse,198
240,79.6,500,forward,199
254,75.1,589,reverse,200
237,79.8,653,reverse,201
254,77.7,668,forward,202
237,76.9,757,reverse,203
249,80.7,772,forward,204
201,77.3,788,reverse,205
257,89.3,781,reverse,206
250,84.5,717,reverse,207
264,85.4,708,forward,208
265,87.5,613,reverse,209
257,82.5,604,forward,210
249,82.7,549,reverse,211
255,87.2,540,forward,212
243,85.7,445,reverse,213
254,84.3,436,forward,214
243,89.0,372,forward,215
250,88.6,342,reverse,216
258,83.9,277,reverse,217
242,86.1,268,forward,218
250,86.8,174,reverse,219
263,83.2,164,forward,220
250,87.9,100,forward,221
253,89.7,70,reverse,222
238,85.0,6,reverse,223
249,97.4,30,reverse,224
248,92.6,36,forward,225
237,94.4,134,reverse,226
238,95.6,140,forward,227
249,90.8,204,forward,228
263,91.5,238,reverse,229
236,96.3,302,reverse,230
246,93.8,308,forward,231
250,93.3,406,reverse,232
252,96.7,411,forward,233
257,92.0,475,forward,234
250,90.4,509,reverse,235
249,95.1,574,reverse,236
264,94.9,579,forward,237
257,90.1,643,forward,238
250,92.2,677,reverse,239
248,96.9,742,reverse,240
248,93.1,747,forward,241
165,97.4,787,reverse,242
251,100.7,787,forward,243
256,104.6,702,reverse,244
239,97.8,683,forward,245
253,99.9,638,reverse,246
